,region,genre,number_of_movies,avg_rating
266,XEU,Mystery,120,5.8175
267,GR,War,2361,6.489665396018634
268,CSHH,Musical,150,6.359333333333333
269,PR,Drama,151,6.605298013245032
270,IN,Sport,900,6.604444444444446
271,PH,War,342,6.158187134502925
272,BE,Animation,516,6.418992248062016
273,CZ,Western,159,6.664779874213837
274,GE,Mystery,58,6.908620689655173
275,CI,Comedy,14,6.371428571428572
276,NP,Family,23,7.382608695652174
277,LK,History,27,7.2592592592592595
278,IT,Reality-TV,9,7.077777777777778
279,HU,Drama,24924,6.454449526560743
280,RU,Action,8865,5.634032712915962
281,RU,Documentary,3808,7.1286764705882355
282,RU,Family,2447,5.884102983244789
283,GR,Musical,1448,6.234668508287293
284,TR,Horror,2949,5.274465920651068
285,CN,War,636,6.695125786163523
286,CO,Drama,2438,6.535397867104183
287,RO,Biography,893,6.944344904815231
288,CL,War,206,6.57378640776699
289,CO,Fantasy,273,6.130402930402931
290,VN,Biography,487,7.035728952772074
291,GE,War,26,7.511538461538462
292,IQ,Drama,65,6.478461538461538
293,LU,Documentary,56,7.073214285714287
294,VE,War,154,6.760389610389611
295,HU,Thriller,4776,5.803433835845896
296,PT,Biography,1755,6.787065527065526
297,XAS,Horror,73,5.293150684931507
298,XEU,Family,168,6.304166666666666
299,TN,Drama,317,7.188328075709778
300,CN,Unknown,157,6.164968152866242
301,LK,War,7,7.142857142857143
302,MD,Horror,14,5.864285714285715
303,DK,Western,1505,6.143056478405318
304,AR,Adventure,3543,6.1812588202088605
305,JP,Comedy,18344,6.125163541212385
306,SE,Action,5858,5.878747012632296
307,CZ,Drama,5734,6.661248692012558
308,AT,Horror,683,5.835724743777453
309,IN,Action,17777,5.957743151262871
310,GR,Western,2237,6.024184175234689
311,RO,Animation,749,6.451668891855807
312,UZ,Music,31,7.103225806451613
313,MY,Documentary,36,7.313888888888889
314,US,Drama,98337,6.203824603150401
315,IN,Animation,2036,6.6499999999999995
316,IL,Thriller,1433,6.1216329378925325
317,EG,Thriller,1492,5.982707774798928
318,MK,Biography,21,7.128571428571429
319,PR,Music,13,6.461538461538461
320,MN,Adventure,46,6.4217391304347835
321,BA,Sci-Fi,57,6.303508771929824
322,MY,Sport,26,6.938461538461539
323,CY,Adventure,7,6.442857142857142
324,GB,Western,3333,5.92448244824482
325,PL,War,2198,6.580436760691537
326,DE,Action,10130,5.575014807502472
327,XYU,Unknown,161,6.445341614906833
328,BR,Family,3009,5.958590893984712
329,PH,Thriller,3256,5.47684275184275
330,BA,Sport,8,6.200000000000001
331,BO,Horror,31,5.490322580645161
332,BD,Horror,35,5.9314285714285715
333,SE,Drama,24326,6.364182356326563
334,IR,Romance,721,5.948543689320389
335,FR,Family,2972,5.98263795423957
336,CSHH,Adventure,658,6.622188449848024
337,BG,Comedy,6532,6.191258420085735
338,EE,Crime,868,6.552419354838707
339,BE,Musical,947,6.206230200633579
340,XYU,Musical,437,6.437757437070939
341,LT,Documentary,323,7.375232198142414
342,LT,Romance,1733,6.50750144258511
343,RU,Mystery,3940,5.741091370558375
344,NO,Sci-Fi,595,5.801344537815127
345,YUCS,Drama,168,6.648809523809524
346,BO,Animation,25,6.292000000000001
347,UY,Unknown,14,6.299999999999999
348,FI,War,1952,6.57361680327869
349,IL,Action,1843,6.219967444384156
350,MX,Comedy,11129,6.1009884086620545
351,CA,Musical,1687,6.320569057498519
352,DE,Documentary,8395,7.092054794520548
353,IR,Musical,101,6.532673267326733
354,SI,Fantasy,361,6.445152354570638
355,CO,Action,1014,6.186785009861935
356,CR,Adventure,49,6.346938775510204
357,KR,Animation,478,6.5767782426778245
358,CG,Drama,29,6.941379310344829
359,SK,Unknown,25,6.18
360,XYU,Horror,266,6.277067669172932
361,MX,War,1162,6.549311531841653
362,MX,Romance,5625,6.298559999999999
363,IS,Comedy,386,6.429015544041451
364,EG,Drama,5353,6.367457500467027
365,RU,Music,1323,6.576795162509448
366,IR,Biography,185,6.718918918918919
367,CSHH,Family,370,6.556756756756756
368,IL,Sci-Fi,510,6.2637254901960775
369,JM,War,6,5.266666666666667
370,IQ,Romance,10,6.2299999999999995
371,HU,War,1696,6.683372641509432
372,HU,Comedy,14898,6.136018257484224
373,CA,Romance,14349,6.223590494111095
374,VN,Family,531,6.156497175141243
375,RS,History,566,6.919434628975264
376,BG,War,681,6.830249632892805
377,NZ,Documentary,557,7.415798922800719
378,SG,Romance,2949,6.195930824008135
379,CSHH,Comedy,1476,6.577845528455284
380,PT,Sci-Fi,1463,5.694258373205742
381,CO,War,134,6.602985074626865
382,NZ,Film-Noir,61,6.334426229508196
383,PH,Family,864,6.127546296296296
384,YUCS,Western,18,6.25
385,XEU,Thriller,257,5.601167315175097
386,SE,Adult,917,5.6741548527808074
387,LV,Horror,360,5.819444444444445
388,AE,Western,49,6.151020408163265
389,MY,Biography,36,6.958333333333333
390,TN,Animation,19,6.915789473684209
391,MD,Action,31,6.296774193548388
392,SE,Thriller,4538,5.891229616571177
393,HR,Comedy,2934,6.429243353783231
394,TW,Action,5492,6.01567734887108
395,DK,Music,894,6.515436241610738
396,XWW,Sci-Fi,1650,5.662909090909093
397,PH,Mystery,1642,5.748112058465287
398,DDDE,Comedy,1171,6.552433817250212
399,CL,Sci-Fi,285,6.231578947368421
400,SG,Film-Noir,40,7.42
401,KZ,Adventure,813,6.732595325953259
402,AL,Crime,90,6.671111111111111
403,LV,History,175,6.844571428571428
404,MY,Family,152,6.594078947368422
405,MA,Romance,16,6.36875
406,JP,Horror,8628,5.275544738062125
407,FI,Fantasy,1880,6.190531914893618
408,GB,Film-Noir,862,6.532714617169375
409,BA,Romance,108,6.412962962962963
410,BO,Biography,11,6.0
411,BE,Sci-Fi,407,5.983783783783783
412,KR,Thriller,1796,5.86119153674833
413,DDDE,Thriller,166,6.372289156626506
414,LT,Biography,625,7.044640000000001
415,GB,Adult,229,5.405676855895196
416,KR,Documentary,719,7.109596662030598
417,XAS,Documentary,27,7.3999999999999995
418,MK,Family,25,7.028
419,SA,Crime,20,6.19
420,MY,Sci-Fi,61,6.101639344262295
421,PH,Western,134,5.851492537313433
422,HR,History,371,6.953369272237198
423,SI,Biography,379,7.1000000000000005
424,AT,Biography,707,6.845968882602545
425,IL,Fantasy,557,6.312208258527827
426,TR,Unknown,269,5.117843866171005
427,IE,Biography,581,6.990533562822719
428,TW,Unknown,106,5.89811320754717
429,BD,Crime,82,6.413414634146341
430,MT,Thriller,6,4.9
431,MN,Thriller,22,5.804545454545454
432,NP,Biography,11,8.518181818181818
433,FR,History,2647,6.665281450698906
434,IT,Action,8915,5.725720695457096
435,SE,Crime,6467,6.230910777794964
436,ES,History,2452,6.6088091353996745
437,BE,Action,1700,6.001529411764705
438,SI,Unknown,43,6.274418604651163
439,VN,History,342,6.791812865497077
440,GE,Comedy,185,6.704324324324325
441,LT,Action,1986,6.276032225579053
442,BA,Mystery,123,5.778048780487805
443,XAS,Sci-Fi,25,5.928
444,LB,Crime,18,6.811111111111111
445,FR,Comedy,21666,5.9341318194406
446,LV,Drama,1954,6.643500511770726
447,RU,Sci-Fi,2274,5.246877748460863
448,SV,Adventure,8,6.4375
449,PL,Adventure,5645,6.015500442869796
450,RU,Western,342,5.784795321637427
451,JP,History,2473,6.7295592397897295
452,RO,Thriller,2577,6.085952658129607
453,SUHH,Music,595,6.533277310924369
454,VE,Crime,669,6.393871449925261
455,DDDE,Documentary,65,7.28923076923077
456,PK,Comedy,166,6.165662650602409
457,CO,Documentary,307,7.327035830618891
458,SN,Thriller,6,6.716666666666668
459,LB,History,19,7.184210526315789
460,DO,Animation,19,6.7368421052631575
461,AZ,Documentary,25,7.208000000000001
462,JP,Romance,10892,6.315011017260376
463,BR,Fantasy,3019,5.868731368002651
464,PT,Family,1453,6.145767377838953
465,SUHH,History,1232,6.686282467532466
466,SG,Comedy,4826,6.010319104848735
